苹果园,古城
科怡路,丰台科技园,丰台南路
丰台南路,科怡路,丰台东大街
丰台东大街,丰台南路,七里庄
六里桥东,六里桥,北京西站
白堆子,军事博物馆,白石桥南
泥洼,首经贸,西局
莲花桥,六里桥,公主坟
西钓鱼台,公主坟,慈寿寺
车道沟,慈寿寺,长春桥
长春桥,车道沟,火器营
火器营,长春桥,巴沟
苏州街,巴沟,海淀黄庄
知春里,海淀黄庄,知春路
西土城,知春路,牡丹园
牡丹园,西土城,健德门
健德门,牡丹园,北土城
安贞门,北土城,惠新西街南口
太阳宫,芍药居,三元桥
亮马桥,三元桥,农业展览馆
农业展览馆,亮马桥,团结湖
团结湖,农业展览馆,呼家楼
金台夕照,呼家楼,国贸
双井,广渠门外,九龙山,国贸,劲松
劲松,双井,潘家园
潘家园,劲松,十里河
分钟寺,十里河,成寿寺
成寿寺,分钟寺,宋家庄
石榴庄,宋家庄,大红门
大红门,石榴庄,角门东
角门东,大红门,角门西
草桥,角门西,纪家庙
纪家庙,草桥,首经贸
首经贸,纪家庙,泥洼,郭公庄
大钟寺,西直门,知春路
五道口,知春路,清华东路西口
上地,清华东路西口,西二旗
龙泽,西二旗,回龙观
回龙观,龙泽,霍营
北苑,立水桥,望京西
光熙门,芍药居,柳芳
柳芳,光熙门,东直门
大井,郭庄子,西局
郭庄子,大瓦窑,大井
大瓦窑,园博园,郭庄子
园博园,张郭庄,大瓦窑
张郭庄,园博园
善各庄,来广营
来广营,东湖渠,善各庄
东湖渠,望京,来广营
阜通,望京南,望京
望京南,将台,阜通
将台,东风北桥,望京南
东风北桥,枣营,将台
枣营,朝阳公园,东风北桥
朝阳公园,金台路,枣营
平乐园,北工大西门,九龙山
北工大西门,十里河,平乐园
方庄,蒲黄榆,十里河
景泰,永定门外,蒲黄榆
永定门外,北京南站,景泰
清华东路西口,五道口,上地,六道口
六道口,清华东路西口,北沙滩
北沙滩,六道口,奥林匹克公园
安立路,奥林匹克公园,大屯路东
关庄,大屯路东,望京西
望京东,望京,崔各庄
崔各庄,望京东,马泉营
马泉营,崔各庄,孙河
孙河,马泉营,国展
国展,孙河,花梨坎
花梨坎,国展,后沙峪
后沙峪,花梨坎,南法信
南法信,后沙峪,石门
石门,南法信,顺义
顺义,石门,俸伯
俸伯,顺义
北安河,温阳路
温阳路,北安河,稻香湖路
稻香湖路,温阳路,屯佃
屯佃,稻香湖路,永丰
永丰,屯佃,永丰南
永丰南,永丰,西北旺
西北旺,永丰南,马连洼
马连洼,西北旺,农大南路
农大南路,马连洼,西苑
高碑店,四惠东,传媒大学
传媒大学,高碑店,双桥
双桥,传媒大学,管庄
管庄,双桥,八里桥
八里桥,管庄,通州北苑
通州北苑,八里桥,果园
果园,通州北苑,九棵树
九棵树,果园,梨园
梨园,九棵树,临河里
临河里,梨园,土桥
土桥,临河里
生命科学园,西二旗,朱辛庄
巩华城,朱辛庄,沙河
沙河,巩华城,沙河高教园
沙河高教园,沙河,南邵
南邵,沙河高教园,北邵洼
北邵洼,南邵,昌平东关
昌平东关,北邵洼,昌平
昌平,昌平东关,十三陵景区
十三陵景区,昌平,昌平西山口
昌平西山口,十三陵景区
肖村,小红门,宋家庄
小红门,旧宫,肖村
旧宫,亦庄桥,小红门
亦庄桥,亦庄文化园,旧宫
亦庄文化园,万源街,亦庄桥
万源街,荣京东街,亦庄文化园
荣京东街,荣昌东街,万源街
荣昌东街,同济南路,荣京东街
同济南路,经海路,荣昌东街
经海路,次渠南,同济南路
次渠南,次渠,经海路
次渠,次渠南
大葆台,稻田,郭公庄
稻田,长阳,大葆台
长阳,篱笆房,稻田
篱笆房,广阳城,长阳
广阳城,良乡大学城北,篱笆房
良乡大学城北,良乡大学城,广阳城
良乡大学城,良乡大学城西,良乡大学城北
良乡大学城西,良乡南关,良乡大学城
良乡南关,苏庄,良乡大学城西
苏庄,阎村东,良乡南关
T3航站楼,三元桥,T2航站楼
T2航站楼,T3航站楼
金安桥,四道桥
四道桥,金安桥,桥户营
桥户营,四道桥,上岸
上岸,桥户营,栗园庄
栗园庄,上岸,小园
小园,栗园庄,石厂
石厂,小园
紫草坞,阎村东,阎村
阎村,紫草坞,星城
星城,阎村,大石河东
大石河东,星城,马各庄
马各庄,大石河东,饶乐府
饶乐府,马各庄,房山城关
房山城关,饶乐府,燕山
燕山,房山城关
颐和园西门,巴沟,茶棚
茶棚,颐和园西门,植物园
植物园,茶棚,香山
香山,植物园
公主坟,万寿路,军事博物馆,莲花桥,西钓鱼台
军事博物馆,公主坟,木樨地,北京西站,白堆子
复兴门,南礼士路,西单,长椿街,阜成门
西单,复兴门,天安门西,宣武门,灵境胡同
东单,王府井,建国门,崇文门,灯市口
建国门,东单,永安里,朝阳门,崇文门
国贸,永安里,大望路,金台夕照,双井
大望路,国贸,四惠,九龙山,金台路
四惠,大望路,四惠东,四惠东
四惠东,四惠,四惠,高碑店
西直门,车公庄,积水潭,新街口,动物园,大钟寺
