车公庄,1946,834
西苑,1655,476
海淀黄庄,1752,618
国家图书馆,1763,778
平安里,2031,834
北京南站,2031,1127
角门西,2031,1212
立水桥,2261,398
大屯路东,2261,530
惠新西街南口,2261,618
东四,2261,876
蒲黄榆,2261,1127
宋家庄,2261,1212
慈寿寺,1584,834
白石桥南,1763,834
南锣鼓巷,2137,834
金台路,2529,876
菜市口,2031,1043
磁器口,2261,1042
九龙山,2529,1040
朱辛庄,1929,319
霍营,2137,398
奥林匹克公园,2137,562
郭公庄,1654,1263
七里庄,1654,1111
六里桥,1692,1063
西局,1692,1111
巴沟,1633,618
知春路,1929,618
北土城,2137,618
芍药居,2365,618
三元桥,2460,675
呼家楼,2460,876
十里河,2460,1154
西二旗,1929,436
望京西,2365,535
望京,2422,535
阎村东,1109,1506
北京西站,1739,995
